Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
801;17641;;24;1922;15647;76;1420;LINESTRING(14.7330 50.0693,14.7446 50.0720,14.7466 50.0724,14.7485 50.0725)
802;17642;;99;4869;0;87;0;LINESTRING(14.6644 50.0665,14.6645 50.0669,14.6647 50.0672,14.6652 50.0674,14.6659 50.0675)
803;17643;;99;4917;0;76;0;LINESTRING(14.6681 50.0664,14.6682 50.0660,14.6680 50.0657,14.6675 50.0654,14.6666 50.0653)
804;17644;;81;3511;3542;0;0;LINESTRING(14.6667 50.0639,14.6677 50.0647,14.6691 50.0656,14.6699 50.0660,14.6705 50.0667,14.6718 50.0675,14.6734 50.0686,14.6759 50.0701)
805;17645;;81;2916;4152;1;1;LINESTRING(14.6805 50.0730,14.6795 50.0722)
806;17647;prelozka I/12;53;31239;0;3107;0;LINESTRING(14.6644 50.0665,14.6681 50.0664)
807;17648;prelozka I/12;53;27722;0;3073;0;LINESTRING(14.6681 50.0664,14.6723 50.0662)
808;17649;prelozka I/12;14;27722;0;3073;0;LINESTRING(14.6865 50.0654,14.6723 50.0662)
809;17650;prelozka I/12;14;22724;0;3008;0;LINESTRING(14.6865 50.0654,14.6908 50.0647)
810;17651;prelozka I/12;14;22919;0;3011;0;LINESTRING(14.6908 50.0647,14.6945 50.0638,14.6980 50.0627,14.7022 50.0618,14.7191 50.0596,14.7229 50.0594,14.7275 50.0593,14.7299 50.0593,14.7323 50.0595)
811;17652;prelozka I/12;14;19584;0;2888;0;LINESTRING(14.7323 50.0595,14.7376 50.0608)
812;17653;prelozka I/12;14;21813;0;3079;0;LINESTRING(14.7376 50.0608,14.7386 50.0613,14.7394 50.0618,14.7403 50.0628,14.7411 50.0638,14.7415 50.0646,14.7422 50.0664,14.7429 50.0677,14.7440 50.0689,14.7456 50.0702)
813;17657;;30;2767;2025;33;291;LINESTRING(14.6893 50.0656,14.6892 50.0652,14.6873 50.0643)
814;17658;;30;4132;2186;39;298;LINESTRING(14.6909 50.0722,14.6894 50.0715,14.6891 50.0713,14.6891 50.0710,14.6891 50.0696,14.6893 50.0686)
815;17659;;93;2694;0;33;0;LINESTRING(14.6873 50.0643,14.6866 50.0645,14.6863 50.0648,14.6863 50.0650,14.6865 50.0654)
816;17660;;93;195;0;2;0;LINESTRING(14.6908 50.0647,14.6893 50.0656)
817;17661;;93;2764;0;37;0;LINESTRING(14.6893 50.0656,14.6885 50.0654,14.6877 50.0653,14.6865 50.0654)
818;17662;;93;3335;0;122;0;LINESTRING(14.7323 50.0595,14.7345 50.0590)
819;17663;;93;2772;0;158;0;LINESTRING(14.7345 50.0590,14.7376 50.0608)
820;17664;;93;6410;0;308;0;LINESTRING(14.7376 50.0608,14.7372 50.0611,14.7366 50.0613,14.7355 50.0613)
821;17665;prelozka I/12;14;21813;0;3079;0;LINESTRING(14.7543 50.0724,14.7517 50.0721,14.7503 50.0719,14.7494 50.0716,14.7475 50.0710,14.7456 50.0702)
822;17671;;30;3340;7268;45;601;LINESTRING(14.6659 50.0531,14.6665 50.0496,14.6672 50.0457,14.6677 50.0448,14.6678 50.0443,14.6673 50.0398,14.6671 50.0381)
823;17673;;27;764;7420;6;830;LINESTRING(14.6719 50.0310,14.6734 50.0325,14.6754 50.0338,14.6774 50.0346)
824;17674;;30;3340;7268;45;601;LINESTRING(14.6670 50.0352,14.6671 50.0381)
825;17675;;27;12641;11386;448;1390;LINESTRING(14.6687 50.0129,14.6695 50.0186)
826;17679;POD JANKOVEM;81;12443;6534;1227;233;LINESTRING(14.6152 50.0470,14.6184 50.0480)
827;17680;;82;1659;9915;182;348;LINESTRING(14.5798 50.0558,14.5804 50.0552,14.5805 50.0546,14.5804 50.0541,14.5802 50.0533,14.5802 50.0524,14.5816 50.0509,14.5819 50.0493,14.5841 50.0474,14.5843 50.0465,14.5848 50.0458)
828;17681;PRATELSTVI;75;16894;14512;1907;2092;LINESTRING(14.5739 50.0479,14.5792 50.0449)
829;17682;;81;6315;3552;47;31;LINESTRING(14.5798 50.0558,14.5779 50.0558,14.5777 50.0560,14.5773 50.0562,14.5762 50.0566,14.5759 50.0567,14.5749 50.0568,14.5739 50.0568,14.5730 50.0568,14.5720 50.0566,14.5703 50.0564,14.5690 50.0563,14.5670 50.0559)
830;17683;DOLNOMECHOL.;81;4659;5490;81;61;LINESTRING(14.5695 50.0611,14.5690 50.0611,14.5665 50.0610,14.5655 50.0609)
831;17684;KUTNOHORSKA;74;18393;19460;1190;2044;LINESTRING(14.5497 50.0655,14.5546 50.0622)
832;17685;;72;10494;0;608;0;LINESTRING(14.5427 50.0620,14.5429 50.0617,14.5433 50.0616,14.5484 50.0616,14.5546 50.0622)
833;17686;;74;16552;0;1067;0;LINESTRING(14.5546 50.0622,14.5553 50.0625,14.5566 50.0630,14.5623 50.0633,14.5627 50.0633,14.5633 50.0632,14.5648 50.0628,14.5652 50.0624,14.5653 50.0621,14.5655 50.0609)
834;17687;;74;12728;0;1001;0;LINESTRING(14.5655 50.0609,14.5670 50.0559)
835;17688;;74;16383;0;996;0;LINESTRING(14.5670 50.0518,14.5666 50.0523,14.5665 50.0526,14.5665 50.0529,14.5671 50.0544,14.5671 50.0548,14.5671 50.0553,14.5670 50.0559)
836;17689;;74;7886;0;2355;0;LINESTRING(14.5792 50.0449,14.5802 50.0455,14.5811 50.0458,14.5820 50.0460,14.5833 50.0460,14.5848 50.0458)
837;17691;;74;13194;0;2364;0;LINESTRING(14.6152 50.0470,14.6060 50.0439,14.6038 50.0432,14.6022 50.0428,14.6005 50.0427,14.5987 50.0428,14.5960 50.0432,14.5901 50.0445,14.5848 50.0458)
838;17693;D0 Prazsky okruh;46;75203;0;20563;0;LINESTRING(14.6155 50.0492,14.6204 50.0424,14.6231 50.0382,14.6281 50.0322,14.6330 50.0267,14.6361 50.0235,14.6377 50.0213,14.6390 50.0192,14.6400 50.0166)
839;17694;;99;10255;0;1356;0;LINESTRING(14.6152 50.0470,14.6145 50.0480,14.6144 50.0484,14.6146 50.0486,14.6147 50.0488,14.6149 50.0490,14.6155 50.0492)
840;17695;;99;9771;0;1232;0;LINESTRING(14.6184 50.0480,14.6176 50.0490,14.6172 50.0493,14.6168 50.0494,14.6164 50.0494,14.6161 50.0494,14.6155 50.0492)
841;17697;NOVOPETROV.;75;20235;19779;792;940;LINESTRING(14.5630 50.0341,14.5644 50.0345)
842;17704;PRATELSTVI;75;20512;13019;2478;1195;LINESTRING(14.6520 50.0077,14.6419 50.0133)
843;17706;D0 Prazsky okruh;46;70934;0;20802;0;LINESTRING(14.6400 50.0166,14.6404 50.0154,14.6406 50.0139,14.6407 50.0107,14.6404 50.0095)
844;17707;D0 Prazsky okruh;41;75997;0;20913;0;LINESTRING(14.6299 49.9966,14.6267 49.9955)
845;17708;D0 Prazsky okruh;41;81306;0;21039;0;LINESTRING(14.6267 49.9955,14.6185 49.9926,14.6153 49.9913,14.6129 49.9898,14.6113 49.9880,14.6104 49.9861,14.6098 49.9848)
846;17709;;99;9382;0;839;0;LINESTRING(14.6381 50.0154,14.6384 50.0159,14.6390 50.0163,14.6400 50.0166)
847;17710;;99;9957;0;1303;0;LINESTRING(14.6419 50.0133,14.6423 50.0138,14.6418 50.0160,14.6415 50.0163,14.6412 50.0165,14.6406 50.0166,14.6400 50.0166)
848;17711;;99;5065;0;111;0;LINESTRING(14.6273 49.9968,14.6278 49.9971,14.6280 49.9971,14.6283 49.9971,14.6285 49.9971,14.6289 49.9971,14.6292 49.9970,14.6294 49.9970,14.6296 49.9968,14.6299 49.9966)
849;17712;;93;7989;0;229;0;LINESTRING(14.6295 49.9954,14.6287 49.9951,14.6284 49.9950,14.6281 49.9950,14.6278 49.9950,14.6275 49.9950,14.6272 49.9951,14.6270 49.9952,14.6267 49.9955)
850;17713;D1;11;66601;76663;8255;13603;LINESTRING(14.6173 49.9717,14.6091 49.9784,14.6088 49.9787)
851;17714;D1;11;55273;63421;3487;9408;LINESTRING(14.5995 49.9861,14.6018 49.9844,14.6044 49.9823,14.6067 49.9804,14.6088 49.9787)
852;17717;;90;17179;0;5651;0;LINESTRING(14.6089 49.9841,14.6082 49.9837,14.6073 49.9834,14.6064 49.9833,14.6055 49.9833,14.6043 49.9832,14.6032 49.9827,14.6025 49.9822,14.6019 49.9813)
