Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
934;18700;;28;15306;15350;463;1509;LINESTRING(14.6685 50.0104,14.6684 50.0090,14.6683 50.0075,14.6679 50.0061,14.6672 50.0049,14.6663 50.0038,14.6656 50.0032,14.6651 50.0028)
935;18723;;81;4456;3962;220;275;LINESTRING(14.5137 50.0424,14.5131 50.0430,14.5126 50.0439)
936;18724;;81;2867;2767;227;254;LINESTRING(14.5158 50.0471,14.5143 50.0469,14.5137 50.0468,14.5131 50.0463,14.5129 50.0460)
937;18726;;81;2345;2491;162;202;LINESTRING(14.5158 50.0471,14.5173 50.0474,14.5181 50.0477,14.5191 50.0478,14.5200 50.0478,14.5209 50.0478)
938;18727;;81;1702;2277;183;191;LINESTRING(14.5209 50.0478,14.5224 50.0476,14.5233 50.0476,14.5240 50.0476)
939;18728;;81;1702;2277;183;191;LINESTRING(14.5239 50.0469,14.5240 50.0476)
940;18735;;81;3419;3948;89;191;LINESTRING(14.4901 50.0433,14.4913 50.0437,14.4924 50.0440)
941;18737;;81;1882;2414;5;98;LINESTRING(14.4946 50.0473,14.4947 50.0468,14.4944 50.0461,14.4938 50.0451,14.4931 50.0445,14.4924 50.0440)
942;18738;;80;1882;2414;5;98;LINESTRING(14.4917 50.0480,14.4930 50.0479,14.4938 50.0478,14.4944 50.0476,14.4946 50.0473)
943;18754;;83;3986;3853;0;0;LINESTRING(14.4946 50.0529,14.4948 50.0527,14.4949 50.0521,14.4949 50.0518,14.4945 50.0512,14.4946 50.0500,14.4946 50.0500)
944;18775;MIROV. HNUTI;75;17962;18500;883;1004;LINESTRING(14.4953 50.0364,14.4961 50.0370,14.4968 50.0374,14.4974 50.0376,14.4977 50.0377)
945;18776;;98;4811;5931;222;275;LINESTRING(14.4941 50.0370,14.4933 50.0373)
946;18777;;81;325;306;16;17;LINESTRING(14.4941 50.0370,14.4945 50.0372,14.4929 50.0381,14.4922 50.0385,14.4919 50.0388)
947;18778;;81;219;206;6;7;LINESTRING(14.4919 50.0388,14.4957 50.0405)
948;18779;;82;4260;3415;102;120;LINESTRING(14.4938 50.0428,14.4948 50.0415)
949;18780;;82;3896;3137;91;121;LINESTRING(14.4957 50.0405,14.4961 50.0401)
950;18781;;82;5636;4963;163;217;LINESTRING(14.4977 50.0377,14.4970 50.0388)
951;18783;;81;3979;3807;162;190;LINESTRING(14.4961 50.0401,14.4979 50.0409)
952;18784;;81;8035;6550;229;241;LINESTRING(14.4905 50.0421,14.4908 50.0421,14.4910 50.0421,14.4918 50.0423,14.4923 50.0424)
953;18786;;81;2405;2183;94;93;LINESTRING(14.4938 50.0428,14.4977 50.0438)
954;18788;;81;2164;2030;87;96;LINESTRING(14.5016 50.0424,14.4998 50.0416)
955;18790;;82;3838;3078;88;117;LINESTRING(14.4957 50.0405,14.4948 50.0415)
956;18813;K HORKAM;74;17322;19469;410;378;LINESTRING(14.5137 50.0424,14.5175 50.0436,14.5175 50.0436)
957;18816;PRACSKA;75;13483;11214;64;112;LINESTRING(14.5165 50.0542,14.5151 50.0542)
958;18818;MIROV. HNUTI;75;18183;18206;845;1013;LINESTRING(14.4993 50.0379,14.4985 50.0378,14.4979 50.0377,14.4977 50.0377)
959;18820;;82;5636;4963;163;217;LINESTRING(14.4961 50.0401,14.4970 50.0388)
960;18822;;82;1815;1776;75;94;LINESTRING(14.4998 50.0416,14.4979 50.0409)
961;18826;PRACSKA;75;12962;10512;62;107;LINESTRING(14.5151 50.0542,14.5137 50.0540,14.5093 50.0536)
962;18835;;81;191;192;0;0;LINESTRING(14.4914 50.0488,14.4912 50.0490,14.4904 50.0495,14.4886 50.0500,14.4862 50.0504,14.4846 50.0506,14.4837 50.0505,14.4828 50.0503,14.4823 50.0499)
963;18836;;81;5816;5683;278;304;LINESTRING(14.4826 50.0485,14.4823 50.0488,14.4821 50.0490,14.4821 50.0496,14.4823 50.0499)
964;18840;;81;3762;3270;216;270;LINESTRING(14.5126 50.0439,14.5124 50.0444,14.5123 50.0450,14.5125 50.0457,14.5129 50.0460)
965;18843;MIROV. HNUTI;75;15945;16585;765;968;LINESTRING(14.5060 50.0396,14.5059 50.0396,14.5012 50.0379)
966;18844;;81;6665;5598;196;213;LINESTRING(14.4938 50.0428,14.4923 50.0424)
967;18847;;82;1899;1780;79;93;LINESTRING(14.4998 50.0416,14.4991 50.0424)
968;18848;;82;2405;2183;94;93;LINESTRING(14.4977 50.0438,14.4991 50.0424)
969;18859;SENOHRABSKA;75;6273;6006;141;312;LINESTRING(14.4894 50.0447,14.4891 50.0450,14.4886 50.0454,14.4878 50.0459,14.4858 50.0468)
970;18865;;83;5221;4966;77;45;LINESTRING(14.4627 50.0212,14.4596 50.0188)
971;18869;;80;9309;9224;103;50;LINESTRING(14.5844 50.1094,14.5854 50.1095,14.5858 50.1097)
972;18870;CHLUMECKA;63;62255;53164;3592;1669;LINESTRING(14.5762 50.1093,14.5776 50.1094)
973;18871;;81;9428;1460;171;62;LINESTRING(14.5772 50.1100,14.5793 50.1102)
974;18873;;99;1244;1945;35;101;LINESTRING(14.5776 50.1094,14.5774 50.1096,14.5772 50.1097,14.5772 50.1098,14.5772 50.1100)
975;18875;;81;12366;4342;208;127;LINESTRING(14.5744 50.1110,14.5750 50.1110,14.5771 50.1112)
976;18877;;81;15770;12318;361;208;LINESTRING(14.5858 50.1097,14.5849 50.1100,14.5848 50.1100,14.5842 50.1106,14.5839 50.1108,14.5835 50.1108,14.5826 50.1107)
977;18893;;81;2920;6806;51;13;LINESTRING(14.6045 50.0212,14.6037 50.0236)
978;18894;;82;1254;1808;13;48;LINESTRING(14.5990 50.0286,14.6033 50.0236,14.6037 50.0236)
979;18896;;81;2447;3129;5;5;LINESTRING(14.6094 50.0249,14.6098 50.0241,14.6123 50.0216,14.6178 50.0181,14.6194 50.0177,14.6206 50.0174,14.6220 50.0168)
980;18899;U KUNR.LESA;75;9164;9562;105;365;LINESTRING(14.4879 50.0280,14.4880 50.0269,14.4881 50.0253,14.4881 50.0244,14.4882 50.0237,14.4885 50.0231,14.4887 50.0229,14.4891 50.0226)
981;18913;NACHODSKA;75;17524;15681;1487;737;LINESTRING(14.6595 50.1204,14.6503 50.1192,14.6464 50.1186,14.6457 50.1186)
982;18914;;75;5408;0;492;0;LINESTRING(14.6413 50.1102,14.6417 50.1107,14.6425 50.1110)
983;18915;;75;9202;0;1350;0;LINESTRING(14.6425 50.1110,14.6434 50.1132)
984;18916;;75;9202;0;1350;0;LINESTRING(14.6457 50.1186,14.6441 50.1177,14.6435 50.1167,14.6435 50.1147,14.6434 50.1132)
985;18925;;82;554;31;17;17;LINESTRING(14.6012 50.0859,14.6057 50.0869)
986;18951;BELADOVA;75;12986;6701;86;191;LINESTRING(14.5201 50.1196,14.5186 50.1212)
987;18954;;27;11854;15147;899;2236;LINESTRING(14.6989 50.1264,14.6917 50.1255)
988;18965;PRIV.VESTEC;93;8661;16354;224;1131;LINESTRING(14.4904 49.9910,14.4850 49.9891)
989;18967;;90;15965;26954;5667;8492;LINESTRING(14.5992 49.9790,14.5957 49.9777)
990;18968;;90;12124;19714;5113;5688;LINESTRING(14.6092 49.9810,14.6087 49.9818,14.6082 49.9823,14.6073 49.9827,14.6066 49.9828,14.6058 49.9829,14.6049 49.9828,14.6040 49.9825,14.6034 49.9822,14.6029 49.9816,14.6025 49.9810,14.6010 49.9797,14.5992 49.9790)
991;19007;BUDEJOVICKA;75;8515;10321;213;161;LINESTRING(14.4595 50.0425,14.4529 50.0430,14.4526 50.0430,14.4525 50.0431)
992;19045;STERB.SPOJKA;53;87648;83399;7008;17457;LINESTRING(14.5656 50.0779,14.5640 50.0784,14.5608 50.0788,14.5582 50.0789,14.5553 50.0786,14.5523 50.0779,14.5498 50.0769,14.5479 50.0761)
993;19046;;99;1757;1682;241;175;LINESTRING(14.5479 50.0761,14.5483 50.0757,14.5482 50.0755,14.5473 50.0751,14.5463 50.0749,14.5451 50.0744)
994;19124;;61;69607;68948;1644;1349;LINESTRING(14.4498 50.0491,14.4511 50.0484)
995;19125;RAMPY;98;8014;8431;299;221;LINESTRING(14.4498 50.0491,14.4507 50.0481)
996;19126;;99;3558;3145;77;82;LINESTRING(14.4507 50.0481,14.4511 50.0484)
997;19138;prelozka I/12;53;41548;0;3430;0;LINESTRING(14.6293 50.0737,14.6259 50.0743,14.6215 50.0750,14.6174 50.0751,14.6137 50.0748,14.6094 50.0742,14.6067 50.0737,14.6037 50.0732,14.6002 50.0729,14.5974 50.0729)
998;19139;;99;4193;0;235;0;LINESTRING(14.6317 50.0744,14.6308 50.0746,14.6301 50.0745,14.6296 50.0742,14.6293 50.0737)
999;19146;D1;11;90662;89605;6496;17208;LINESTRING(14.5881 49.9932,14.5972 49.9875,14.5995 49.9861)
1000;19147;;30;17113;15244;951;660;LINESTRING(14.5858 49.9922,14.5868 49.9954)
1001;19148;;30;15156;16874;553;461;LINESTRING(14.5868 49.9954,14.5850 49.9964)
1002;19149;;30;6069;7119;271;97;LINESTRING(14.5837 50.0021,14.5836 50.0014,14.5836 50.0005,14.5845 49.9999,14.5849 49.9993,14.5847 49.9986,14.5850 49.9964)
1003;19150;;93;12469;11383;830;526;LINESTRING(14.5858 49.9922,14.5865 49.9921,14.5872 49.9921,14.5876 49.9921,14.5879 49.9923,14.5880 49.9926,14.5881 49.9932)
1004;19151;;93;14225;12928;981;638;LINESTRING(14.5868 49.9954,14.5875 49.9952,14.5880 49.9951,14.5883 49.9947,14.5883 49.9941,14.5882 49.9937,14.5881 49.9932)
1005;19152;;33;7607;7664;710;555;LINESTRING(14.5868 49.9954,14.5891 49.9971)
1006;19153;;33;4192;6646;75;169;LINESTRING(14.5891 49.9971,14.5904 49.9980)
1007;19161;;94;51584;39127;11064;8481;LINESTRING(14.5912 50.1199,14.5910 50.1205,14.5904 50.1207,14.5898 50.1207,14.5893 50.1206)
1008;19169;VIDENSKA;72;22485;21207;1134;900;LINESTRING(14.4553 50.0292,14.4556 50.0290,14.4559 50.0287,14.4564 50.0284,14.4568 50.0282,14.4571 50.0280,14.4582 50.0267)
1009;19170;VIDENSKA;72;21725;20213;1088;871;LINESTRING(14.4601 50.0245,14.4582 50.0267)
1010;19935;CHILSKA;72;21200;20479;743;719;LINESTRING(14.5071 50.0307,14.5074 50.0296)
1011;19937;TURKOVA;72;14167;;411;;LINESTRING(14.5063 50.0314,14.5047 50.0318)
1012;19938;TURKOVA;72;14167;;411;;LINESTRING(14.5018 50.0325,14.5047 50.0318)
1013;19949;CHILSKA;72;20731;20015;725;726;LINESTRING(14.5089 50.0239,14.5089 50.0244,14.5083 50.0266)
1014;19950;CHILSKA;72;20731;20049;725;726;LINESTRING(14.5074 50.0296,14.5083 50.0266)
1015;20006;;75;24048;18346;470;778;LINESTRING(14.5172 50.1186,14.5181 50.1188)
1016;20031;HORNOMECHOL.;75;17089;17054;538;564;LINESTRING(14.5671 50.0447,14.5669 50.0408)
1017;20033;VYSTAVNI;75;15647;14842;513;836;LINESTRING(14.5317 50.0354,14.5337 50.0349)
1018;20034;VYSTAVNI;75;15647;14842;513;836;LINESTRING(14.5375 50.0339,14.5337 50.0349)
1019;20070;VIDENSKA;72;44411;42371;2153;1523;LINESTRING(14.4553 50.0292,14.4551 50.0298,14.4550 50.0313,14.4551 50.0325,14.4554 50.0337)
1020;20071;VIDENSKA;72;46043;43764;2194;1562;LINESTRING(14.4558 50.0348,14.4554 50.0337)
1021;20072;;82;350;289;5;2;LINESTRING(14.4582 50.0267,14.4576 50.0276,14.4572 50.0282,14.4562 50.0292,14.4561 50.0294,14.4561 50.0297)
1022;20073;;81;2738;2652;53;44;LINESTRING(14.4553 50.0292,14.4561 50.0297)
1023;20074;;81;1632;1393;42;40;LINESTRING(14.4561 50.0297,14.4560 50.0312,14.4560 50.0324,14.4559 50.0334,14.4554 50.0337)
1024;20356;;34;1214;812;0;0;LINESTRING(14.6990 50.1156,14.6998 50.1163,14.7037 50.1182,14.7061 50.1189,14.7064 50.1193,14.7063 50.1196,14.7047 50.1216)
1025;20358;;29;7698;8413;185;688;LINESTRING(14.7121 50.0801,14.7147 50.0820)
1026;20359;;29;7157;7970;116;626;LINESTRING(14.7171 50.0941,14.7179 50.0919,14.7183 50.0901,14.7180 50.0887,14.7182 50.0871,14.7181 50.0850,14.7172 50.0834,14.7160 50.0827,14.7147 50.0820)
1027;20360;;33;2365;1151;0;0;LINESTRING(14.7121 50.0801,14.7131 50.0790,14.7182 50.0771,14.7187 50.0767,14.7194 50.0764)
1028;20362;;33;3534;3770;0;0;LINESTRING(14.7163 50.0731,14.7040 50.0725)
1029;20363;;33;3139;2020;0;0;LINESTRING(14.7242 50.0733,14.7163 50.0731)
1030;20379;;27;13843;24199;1043;2804;LINESTRING(14.6390 49.9853,14.6422 49.9878,14.6425 49.9885)
1031;20380;;27;11718;23437;995;2923;LINESTRING(14.6461 49.9921,14.6425 49.9885)
1032;20382;;31;1304;790;15;0;LINESTRING(14.6461 49.9921,14.6502 49.9908,14.6507 49.9906)
1033;20383;;30;3245;7150;16;161;LINESTRING(14.6355 49.9882,14.6425 49.9885)
1034;20385;;31;7693;8654;3;29;LINESTRING(14.6594 49.9943,14.6617 49.9926,14.6628 49.9930,14.6645 49.9933,14.6665 49.9933,14.6681 49.9937,14.6689 49.9938,14.6703 49.9945)
1035;20386;;31;5292;5908;2;28;LINESTRING(14.6763 49.9967,14.6703 49.9945)
1036;20391;;27;17750;28723;2175;3518;LINESTRING(14.6185 49.9740,14.6225 49.9749)
1037;20392;;27;14605;24868;1268;2830;LINESTRING(14.6314 49.9778,14.6225 49.9749)
1038;20393;;30;1464;2650;137;108;LINESTRING(14.6198 49.9877,14.6208 49.9869,14.6210 49.9866,14.6208 49.9861,14.6209 49.9851,14.6206 49.9835,14.6188 49.9820,14.6184 49.9814,14.6184 49.9807,14.6194 49.9788,14.6197 49.9779,14.6201 49.9773,14.6214 49.9767,14.6219 49.9763,14.6225 49.9749)
1039;20398;;27;22174;12819;3838;3060;LINESTRING(14.6130 49.9727,14.6115 49.9725,14.6106 49.9725,14.6068 49.9734)
1040;20399;;27;14236;10284;3527;2936;LINESTRING(14.6068 49.9734,14.6002 49.9750)
1041;20400;;30;8153;2629;390;137;LINESTRING(14.5985 49.9699,14.6011 49.9701,14.6028 49.9700,14.6052 49.9702,14.6064 49.9707,14.6068 49.9712,14.6069 49.9716,14.6066 49.9728,14.6068 49.9734)
1042;20401;K DALNICI;75;10322;12852;122;209;LINESTRING(14.5681 50.0075,14.5692 50.0081,14.5703 50.0085,14.5714 50.0089)
1043;20403;;32;13559;15524;277;173;LINESTRING(14.5738 50.0051,14.5719 50.0063,14.5711 50.0064,14.5671 50.0067)
1044;20404;;32;9257;12782;196;334;LINESTRING(14.5738 50.0051,14.5752 50.0044,14.5757 50.0040,14.5759 50.0037,14.5763 50.0027)
1045;20405;;33;9523;10671;172;164;LINESTRING(14.5738 50.0051,14.5755 50.0064)
1046;20406;;33;4244;4343;11;0;LINESTRING(14.5714 50.0089,14.5755 50.0064)
1047;20407;;33;5383;4796;157;11;LINESTRING(14.5830 50.0036,14.5818 50.0054,14.5813 50.0058,14.5811 50.0061,14.5809 50.0083,14.5817 50.0125,14.5817 50.0142,14.5819 50.0153,14.5822 50.0163)
1048;20411;;30;4287;7207;93;119;LINESTRING(14.5436 49.9942,14.5489 49.9977,14.5494 49.9990,14.5500 49.9993)
1049;20412;;30;5079;7282;93;119;LINESTRING(14.5511 50.0004,14.5503 49.9995,14.5500 49.9993)
1050;20413;;31;2642;2687;137;169;LINESTRING(14.5481 50.0040,14.5481 50.0041,14.5482 50.0046,14.5481 50.0052,14.5474 50.0054,14.5467 50.0056,14.5466 50.0064,14.5464 50.0069)
1051;20414;;31;3362;2958;137;170;LINESTRING(14.5511 50.0004,14.5509 50.0006,14.5503 50.0006,14.5497 50.0009,14.5491 50.0010,14.5488 50.0014,14.5488 50.0020,14.5484 50.0027,14.5480 50.0035,14.5481 50.0040)
1052;20418;;30;4287;7207;93;119;LINESTRING(14.5436 49.9942,14.5408 49.9962,14.5381 49.9977)
1053;20419;;30;4771;7642;93;119;LINESTRING(14.5334 49.9995,14.5371 49.9983,14.5381 49.9977)
1054;20422;;30;8490;8765;353;171;LINESTRING(14.5403 49.9708,14.5336 49.9771)
1055;20423;;30;8773;11724;258;37;LINESTRING(14.5217 49.9874,14.5222 49.9865,14.5240 49.9853,14.5257 49.9832,14.5305 49.9791,14.5322 49.9785,14.5330 49.9779,14.5336 49.9771)
1056;20424;;33;2790;2810;0;0;LINESTRING(14.5193 49.9725,14.5127 49.9684)
1057;20425;;33;1977;1906;0;0;LINESTRING(14.5336 49.9771,14.5320 49.9764,14.5270 49.9761,14.5236 49.9754,14.5215 49.9738,14.5193 49.9725)
1058;20428;;27;16298;11606;1745;1356;LINESTRING(14.5697 49.9779,14.5535 49.9755,14.5515 49.9749)
1059;20430;;27;10486;7195;1440;1035;LINESTRING(14.5697 49.9779,14.5849 49.9760)
1060;20431;;27;12392;9645;1572;1207;LINESTRING(14.5888 49.9749,14.5849 49.9760)
1061;20432;;30;1907;2449;132;172;LINESTRING(14.5800 49.9820,14.5855 49.9786,14.5857 49.9772,14.5849 49.9760)
1062;20433;;30;9943;7198;367;191;LINESTRING(14.5697 49.9779,14.5761 49.9826)
1063;20434;;30;6836;6023;555;397;LINESTRING(14.5697 49.9779,14.5703 49.9766,14.5703 49.9751,14.5713 49.9723,14.5720 49.9716,14.5732 49.9697,14.5745 49.9689,14.5749 49.9686,14.5755 49.9673)
1064;20435;;30;3169;1404;534;88;LINESTRING(14.5755 49.9673,14.5771 49.9673,14.5793 49.9677,14.5802 49.9678,14.5809 49.9679,14.5843 49.9705,14.5848 49.9707,14.5877 49.9709,14.5886 49.9707,14.5901 49.9703,14.5905 49.9706,14.5925 49.9712)
1065;20687;;81;4573;2705;92;180;LINESTRING(14.5069 50.0563,14.5048 50.0564,14.5038 50.0564)
1066;20688;;81;6408;4020;353;340;LINESTRING(14.5038 50.0564,14.5026 50.0564,14.5024 50.0564,14.4987 50.0565,14.4978 50.0565)
1067;20689;;81;7645;5355;400;383;LINESTRING(14.4938 50.0567,14.4948 50.0566,14.4966 50.0565,14.4978 50.0565)
1068;20693;;81;4030;2829;5;68;LINESTRING(14.5079 50.0533,14.5076 50.0539)
1069;20694;;81;4298;2449;8;68;LINESTRING(14.5069 50.0563,14.5071 50.0547,14.5076 50.0539)
1070;20695;;81;4140;2920;88;121;LINESTRING(14.5069 50.0563,14.5069 50.0576)
1071;20696;;81;3206;1981;69;97;LINESTRING(14.5064 50.0588,14.5067 50.0586,14.5069 50.0583,14.5070 50.0580,14.5069 50.0576)
1072;20697;;81;2910;2895;83;130;LINESTRING(14.5110 50.0582,14.5105 50.0579,14.5101 50.0577)
1073;20698;;81;1425;1613;77;124;LINESTRING(14.5069 50.0576,14.5077 50.0575,14.5090 50.0575,14.5095 50.0576,14.5097 50.0576,14.5101 50.0577)
1074;20701;;82;1579;1445;48;151;LINESTRING(14.5225 50.0546,14.5226 50.0554,14.5225 50.0564,14.5222 50.0570,14.5217 50.0578,14.5212 50.0582,14.5206 50.0586,14.5201 50.0589,14.5196 50.0590,14.5191 50.0591,14.5177 50.0591,14.5166 50.0591)
1075;20702;;82;1675;1457;48;151;LINESTRING(14.5166 50.0591,14.5152 50.0590)
1076;20703;;82;1680;1458;48;151;LINESTRING(14.5152 50.0590,14.5130 50.0587)
1077;20704;;82;3572;2949;48;151;LINESTRING(14.5110 50.0582,14.5115 50.0584,14.5130 50.0587)
1078;20708;SVEHLOVA;72;29232;33020;803;1162;LINESTRING(14.5307 50.0527,14.5262 50.0528)
1079;20709;SVEHLOVA;72;29606;33438;823;1213;LINESTRING(14.5225 50.0529,14.5262 50.0528)
1080;20712;HORNOMECHOL.;75;18361;18457;218;470;LINESTRING(14.5432 50.0487,14.5495 50.0466,14.5500 50.0466,14.5504 50.0466,14.5512 50.0468,14.5521 50.0470)
1081;20713;HORNOMECHOL.;75;18007;17992;220;470;LINESTRING(14.5553 50.0478,14.5521 50.0470)
1082;20716;POD JANKOVEM;81;7517;6812;29;317;LINESTRING(14.6086 50.0314,14.6099 50.0343,14.6127 50.0402)
1083;20719;STYCHOVA;81;6146;5769;143;128;LINESTRING(14.5641 50.0232,14.5658 50.0236,14.5678 50.0236,14.5690 50.0234)
1084;20720;STYCHOVA;81;6137;5755;143;128;LINESTRING(14.5791 50.0212,14.5779 50.0207,14.5693 50.0234,14.5690 50.0234)
1085;20728;KUNR.SPOJKA;75;22082;19938;930;1035;LINESTRING(14.5005 50.0202,14.5013 50.0172)
1086;20729;KUNR.SPOJKA;75;21782;19784;918;1022;LINESTRING(14.5006 50.0056,14.5034 50.0106,14.5036 50.0118,14.5031 50.0127,14.5020 50.0142,14.5018 50.0152,14.5013 50.0172)
1087;20736;U KUNR.LESA;75;12803;12845;139;376;LINESTRING(14.4877 50.0295,14.4876 50.0310,14.4876 50.0314)
1088;20742;RYSAVEHO;72;17771;15776;251;458;LINESTRING(14.4792 50.0362,14.4803 50.0350,14.4807 50.0347,14.4813 50.0345,14.4820 50.0343,14.4824 50.0342)
1089;20743;RYSAVEHO;72;17276;15485;282;490;LINESTRING(14.4855 50.0333,14.4848 50.0335,14.4843 50.0336,14.4837 50.0338,14.4824 50.0342)
1090;20759;USTREDNI;75;15063;16256;829;501;LINESTRING(14.5552 50.0725,14.5535 50.0723,14.5506 50.0719,14.5498 50.0717,14.5490 50.0714,14.5490 50.0714)
1091;20760;USTREDNI;75;15586;16670;1032;687;LINESTRING(14.5453 50.0704,14.5458 50.0706,14.5466 50.0707,14.5480 50.0711,14.5485 50.0713,14.5490 50.0714)
1092;20788;PRUMYSLOVA;72;49900;49772;3126;4010;LINESTRING(14.5366 50.0880,14.5369 50.0876,14.5371 50.0871,14.5373 50.0867,14.5376 50.0861,14.5376 50.0861)
1093;20789;PRUMYSLOVA;72;49908;50501;3148;4359;LINESTRING(14.5382 50.0828,14.5376 50.0861)
1094;20797;;83;7177;5393;157;1;LINESTRING(14.5346 50.0920,14.5353 50.0924,14.5362 50.0926)
1095;20798;;83;6982;5195;156;0;LINESTRING(14.5407 50.0932,14.5362 50.0926)
1096;20817;;82;5373;4272;49;35;LINESTRING(14.6123 50.1008,14.6117 50.1005,14.6110 50.1002,14.6102 50.0999,14.6089 50.0994,14.6078 50.0992,14.6075 50.0991,14.6063 50.0989,14.6050 50.0988,14.6044 50.0987,14.6038 50.0985,14.6037 50.0984,14.6035 50.0970,14.6035 50.0968,14.6033 50.0967,14.6032 50.0967,14.6029 50.0967,14.6017 50.0967,14.6003 50.0966,14.5985 50.0965,14.5971 50.0963,14.5967 50.0962,14.5965 50.0962,14.5963 50.0962,14.5961 50.0961,14.5958 50.0960,14.5948 50.0955,14.5943 50.0952,14.5933 50.0949,14.5909 50.0942,14.5901 50.0940)
1097;20818;;81;5379;4272;49;35;LINESTRING(14.5854 50.0906,14.5871 50.0917,14.5884 50.0928,14.5891 50.0934,14.5896 50.0938,14.5900 50.0940,14.5901 50.0940)
1098;20825;;81;10185;9678;562;157;LINESTRING(14.5541 50.1070,14.5563 50.1082)
1099;20827;;81;4394;4524;103;46;LINESTRING(14.5598 50.1131,14.5594 50.1123,14.5564 50.1108)
1100;20828;;81;7660;7878;415;85;LINESTRING(14.5609 50.1151,14.5598 50.1133,14.5598 50.1131)
1101;20829;;81;6042;5294;439;125;LINESTRING(14.5563 50.1082,14.5576 50.1083,14.5592 50.1087,14.5605 50.1094,14.5631 50.1108)
1102;20830;;81;3748;3746;314;49;LINESTRING(14.5631 50.1108,14.5600 50.1129,14.5598 50.1131)
1103;20832;CHLUMECKA;63;52350;46216;2552;1340;LINESTRING(14.5714 50.1087,14.5620 50.1074)
1104;20833;CHLUMECKA;63;52348;46213;2551;1340;LINESTRING(14.5572 50.1067,14.5620 50.1074)
1105;20836;;81;4600;5453;717;346;LINESTRING(14.5806 50.1233,14.5836 50.1229)
1106;20837;;81;6565;7261;822;401;LINESTRING(14.5718 50.1256,14.5754 50.1245,14.5773 50.1238,14.5781 50.1237,14.5806 50.1233)
1107;20850;KBELSKA;72;37726;36921;2265;3792;LINESTRING(14.5313 50.1049,14.5314 50.1058)
1108;20851;KBELSKA;72;37271;36468;2204;3744;LINESTRING(14.5314 50.1077,14.5315 50.1063,14.5314 50.1058)
1109;20930;ZABEHLICKA;75;16818;12012;339;187;LINESTRING(14.4747 50.0566,14.4790 50.0561)
1110;20931;ZABEHLICKA;75;14919;10749;309;100;LINESTRING(14.4712 50.0570,14.4747 50.0566)
1111;20932;;83;4149;3628;42;105;LINESTRING(14.4721 50.0553,14.4730 50.0554,14.4737 50.0555)
1112;20933;;83;3681;3021;42;105;LINESTRING(14.4747 50.0566,14.4745 50.0558,14.4743 50.0556,14.4737 50.0555)
1113;20967;;81;5927;7645;29;36;LINESTRING(14.4511 50.0154,14.4520 50.0157)
1114;20968;;81;8252;9500;29;35;LINESTRING(14.4546 50.0164,14.4520 50.0157)
1115;21055;;30;2292;1539;40;107;LINESTRING(14.7156 50.0428,14.7187 50.0406,14.7198 50.0396,14.7205 50.0389,14.7203 50.0374,14.7212 50.0373,14.7215 50.0368)
1116;21484;;81;7327;7955;190;562;LINESTRING(14.5893 50.0386,14.5903 50.0391)
1117;21493;;97;13817;15751;704;5465;LINESTRING(14.4898 50.0376,14.4893 50.0384)
1118;21506;;81;2103;1917;269;165;LINESTRING(14.5446 50.0715,14.5460 50.0719,14.5463 50.0721,14.5462 50.0728,14.5456 50.0737)
1119;21507;;81;1757;1682;241;175;LINESTRING(14.5451 50.0744,14.5456 50.0737)
1120;21536;NA PADESATEM;72;17663;16685;460;669;LINESTRING(14.5046 50.0640,14.5054 50.0648,14.5062 50.0659)
1121;21537;NA PADESATEM;72;16590;15375;385;656;LINESTRING(14.5075 50.0676,14.5070 50.0671,14.5062 50.0659)
1122;21561;K DALNICI;75;19923;21961;290;220;LINESTRING(14.5837 50.0170,14.5833 50.0169,14.5822 50.0163)
1123;21562;K DALNICI;75;14540;17166;132;209;LINESTRING(14.5714 50.0089,14.5717 50.0093,14.5719 50.0096,14.5721 50.0100,14.5726 50.0105,14.5734 50.0110,14.5740 50.0115,14.5743 50.0118,14.5744 50.0122,14.5753 50.0130,14.5758 50.0135,14.5768 50.0140,14.5783 50.0147,14.5822 50.0163)
1124;21564;;81;4382;2059;68;152;LINESTRING(14.6348 50.0096,14.6346 50.0098,14.6344 50.0100,14.6342 50.0102,14.6341 50.0103,14.6339 50.0105,14.6338 50.0106,14.6336 50.0107,14.6335 50.0107,14.6331 50.0107,14.6331 50.0107,14.6330 50.0108,14.6329 50.0108,14.6329 50.0109,14.6331 50.0112,14.6331 50.0112,14.6331 50.0113)
1125;21566;PRATELSTVI;75;9709;13019;1113;1195;LINESTRING(14.6401 50.0143,14.6381 50.0154)
1126;21567;PRATELSTVI;75;15603;13019;1725;1195;LINESTRING(14.6401 50.0143,14.6419 50.0133)
1127;21568;;93;5894;0;613;0;LINESTRING(14.6400 50.0166,14.6384 50.0163,14.6378 50.0161,14.6374 50.0159,14.6373 50.0155,14.6374 50.0151,14.6381 50.0148,14.6401 50.0143)
1128;21570;;90;17142;14205;1517;3920;LINESTRING(14.5995 49.9861,14.6020 49.9838)
1129;21571;;90;9423;14205;1007;3920;LINESTRING(14.6020 49.9838,14.6021 49.9833,14.6021 49.9827,14.6018 49.9821)
1130;21572;;90;5583;6964;453;1116;LINESTRING(14.6018 49.9821,14.6019 49.9813)
